ID	Population	Site	Depth	Est_K	P1	P2	P3	P4	group	relatedness	mean_IBD_length.kb	N50_IBD_Length.kb	Mean_IBD_goodness	cluster	year	eff_k
PH0308-CW	West_Cambodia	Pursat	93.45	2	0.89	0	0	0.11	Asia1	0.93715782474829	422.886472222222	894.281	0.93563798332646	HighSib	2010	1.24347177319075
PH0321-C	West_Cambodia	Pursat	49.26	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0322-C	West_Cambodia	Pursat	51.17	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0324-C	West_Cambodia	Pursat	46.55	2	0.86	0	0	0.14	Asia1	0.608600193994346	303.225435897436	591.516	0.910190633978486	Sib	2010	1.31717597471022
PH0325-C	West_Cambodia	Pursat	30.61	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0326-C	West_Cambodia	Pursat	115.23	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0327-C	West_Cambodia	Pursat	53.58	1	0.99	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1.02030405060708
PH0328-C	West_Cambodia	Pursat	28.74	1	0.97	0.01	0.01	0.01	Asia1	0.259325126726037	NA	NA	NA	NA	2010	1.06247343816405
PH0329-C	West_Cambodia	Pursat	57.5	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0330-C	West_Cambodia	Pursat	116.18	3	0	0.16	0.56	0.28	Asia1	0.377211871890794	183.219209090909	527.703	0.741438185625105	Sib	2010	2.39463601532567
PH0332-C	West_Cambodia	Pursat	46.51	3	0.01	0.17	0.76	0.05	Asia1	0.584228695330852	181.712042780749	635.111	0.555185268755294	Sib	2010	1.6417665407979
PH0333-C	West_Cambodia	Pursat	157.34	2	0.58	0	0.42	0	Asia1	0.285903342297186	220.780285714286	548.912	0.9417018903013	Other	2010	1.95007800312013
PH0334-C	West_Cambodia	Pursat	92.04	3	0	0.15	0.58	0.27	Asia1	0.33825846275576	181.227961165049	752.266	0.812588052585017	Other	2010	2.31588698471515
PH0335-C	West_Cambodia	Pursat	39.77	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0336-C	West_Cambodia	Pursat	64.33	2	0.58	0	0	0.42	Asia1	0.899429544960066	533.546793103448	1230.335	0.965722334192076	HighSib	2010	1.95007800312013
PH0337-C	West_Cambodia	Pursat	74.26	1	1	0	0	0	Asia1	NA	NA	NA	NA	HighSib	2010	1
PH0338-C	West_Cambodia	Pursat	54.05	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0453-C	West_Cambodia	Pursat	88.41	3	0	0.19	0.7	0.1	Asia1	0.839279718597335	359.792884955752	739.88	0.888204367050178	HighSib	2010	1.86532363365044
PH0454-C	West_Cambodia	Pursat	70.17	3	0	0.12	0.83	0.05	Asia1	0.742026105736305	337.755185483871	817.684	0.738404703189608	HighSib	2010	1.4168319637291
PH0455-C	West_Cambodia	Pursat	79.39	3	0	0.26	0.64	0.1	Asia1	0.416512287575842	159.770243478261	682.218	0.727849402322878	Sib	2010	2.05254515599343
PH0456-C	West_Cambodia	Pursat	77.35	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0457-CW	West_Cambodia	Pursat	39.79	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0458-CW	West_Cambodia	Pursat	41.68	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0459-CW	West_Cambodia	Pursat	42.24	3	0	0.29	0.56	0.15	Asia1	0.641499024043585	285.635974789916	632.107	0.798950378840548	Sib	2010	2.37981913374583
PH0460-C	West_Cambodia	Pursat	63.89	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
