strain	isolate	slot	coi	proportion	mean_coverage	ref_calls	nref_calls	zscore	clonal_nref_mean	clonal_nref_sd	country	site	discarded
PF0125-C.h3	PF0125-C	3	3	0.45	89.06	504753	3853	-6.060359265	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0125-C.h4	PF0125-C	4	3	0.18	89.06	503543	5063	2.388568583	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0127-C.h1	PF0127-C	1	2	0.86	196.33	503992	4614	-0.746612081	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0127-C.h3	PF0127-C	3	2	0.14	196.33	504898	3708	-7.07283409	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0128-C.h1	PF0128-C	1	2	0.72	38.18	505692	2914	-12.61700658	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0128-C.h3	PF0128-C	3	2	0.28	38.18	501300	7306	18.05050673	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0129-C.h1	PF0129-C	1	1	0.98	15.81	504049	4557	-1.144619426	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0131-C.h1	PF0131-C	1	2	0.73	74.21	505076	3530	-8.31573422	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0131-C.h3	PF0131-C	3	2	0.27	74.21	503095	5511	5.516766662	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0132-C.h2	PF0132-C	2	3	0.19	192.31	505505	3101	-11.31126318	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0132-C.h3	PF0132-C	3	3	0.69	192.31	503758	4848	0.887312808	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0132-C.h4	PF0132-C	4	3	0.13	192.31	505316	3290	-9.991554619	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0133-C.h1	PF0133-C	1	2	0.93	115.4	503839	4767	0.321723423	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0133-C.h3	PF0133-C	3	2	0.07	115.4	505721	2885	-12.81950154	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0134-C.h2	PF0134-C	2	3	0.38	143.51	504474	4132	-4.112218051	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0134-C.h3	PF0134-C	3	3	0.45	143.51	504834	3772	-6.62594865	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0134-C.h4	PF0134-C	4	3	0.16	143.51	503414	5192	3.289322048	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0135-C.h1	PF0135-C	1	2	0.81	95.64	503895	4711	-0.069301337	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0135-C.h3	PF0135-C	3	2	0.19	95.64	505393	3213	-10.52921366	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0136-C.h1	PF0136-C	1	1	1	158.9	503835	4771	0.349653763	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0137-C.h1	PF0137-C	1	1	1	71.96	503852	4754	0.230949818	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0138-C.h1	PF0138-C	1	2	0.69	25.56	504719	3887	-5.822951375	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0138-C.h3	PF0138-C	3	2	0.31	25.56	504565	4041	-4.747633285	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0140-C.h2	PF0140-C	2	3	0.29	44.27	504779	3827	-6.241906475	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0140-C.h3	PF0140-C	3	3	0.66	44.27	504008	4598	-0.858333441	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0140-C.h4	PF0140-C	4	3	0.04	44.27	503456	5150	2.996053478	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0141-C.h1	PF0141-C	1	4	0.04	177.7	504630	3976	-5.20150131	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0141-C.h2	PF0141-C	2	4	0.16	177.7	504770	3836	-6.17906321	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0141-C.h3	PF0141-C	3	4	0.51	177.7	504081	4525	-1.368062146	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0141-C.h4	PF0141-C	4	4	0.29	177.7	504349	4257	-3.239394926	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0142-C.h1	PF0142-C	1	1	1	84.44	503883	4723	0.014489683	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0143-C.h1	PF0143-C	1	1	0.99	132.29	503873	4733	0.084315533	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0144-C.h2	PF0144-C	2	3	0.2	34.14	504504	4102	-4.321695601	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0144-C.h3	PF0144-C	3	3	0.62	34.14	503668	4938	1.515745458	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0144-C.h4	PF0144-C	4	3	0.18	34.14	504588	4018	-4.90823274	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0145-C.h1	PF0145-C	1	1	1	28.29	503880	4726	0.035437438	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0146-C.h1	PF0146-C	1	2	0.89	19.15	504221	4385	-2.345624046	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0146-C.h4	PF0146-C	4	2	0.11	19.15	503499	5107	2.695802323	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0148-C.h1	PF0148-C	1	1	1	201.26	503884	4722	0.007507098	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0149-C.h1	PF0149-C	1	1	0.99	11.94	504206	4400	-2.240885271	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0150-C.h2	PF0150-C	2	3	0.24	60.19	504768	3838	-6.16509804	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0150-C.h3	PF0150-C	3	3	0.61	60.19	503979	4627	-0.655838476	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0150-C.h4	PF0150-C	4	3	0.15	60.19	504677	3929	-5.529682805	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0151-C.h1	PF0151-C	1	1	1	205.49	503812	4794	0.510253218	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0152-C.h1	PF0152-C	1	1	1	214.2	503901	4705	-0.111196847	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0153-C.h2	PF0153-C	2	3	0.32	116.17	504167	4439	-1.968564456	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0153-C.h3	PF0153-C	3	3	0.57	116.17	504076	4530	-1.333149221	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0153-C.h4	PF0153-C	4	3	0.11	116.17	504952	3654	-7.44989368	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0154-C.h1	PF0154-C	1	2	0.68	66.18	504189	4417	-2.122181326	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0154-C.h3	PF0154-C	3	2	0.32	66.18	504026	4580	-0.984019971	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0155-C.h2	PF0155-C	2	3	0.15	202.39	504620	3986	-5.13167546	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0155-C.h3	PF0155-C	3	3	0.52	202.39	505184	3422	-9.069853399	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0155-C.h4	PF0155-C	4	3	0.34	202.39	503464	5142	2.940192798	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0156-C.h1	PF0156-C	1	1	1	71.87	503913	4693	-0.194987867	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0157-C.h1	PF0157-C	1	1	1	112.36	503972	4634	-0.606960381	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0158-C.h1	PF0158-C	1	1	1	99.35	504014	4592	-0.900228951	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0159-C.h1	PF0159-C	1	1	1	96.83	504000	4606	-0.802472761	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0160-C.h1	PF0160-C	1	2	0.77	91.84	504035	4571	-1.046863236	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0160-C.h3	PF0160-C	3	2	0.23	91.84	504606	4000	-5.03391927	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0161-C.h1	PF0161-C	1	1	0.99	124.95	503927	4679	-0.292744057	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0162-C.h1	PF0162-C	1	1	1	40.14	504003	4603	-0.823420516	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0163-C.h1	PF0163-C	1	1	0.99	14	504112	4494	-1.584522281	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0164-C.h1	PF0164-C	1	1	1	88.99	504015	4591	-0.907211536	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0167-C.h1	PF0167-C	1	2	0.7	126.13	503786	4820	0.691800428	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0167-C.h3	PF0167-C	3	2	0.3	126.13	504101	4505	-1.507713846	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0168-C.h1	PF0168-C	1	1	0.99	171.54	503807	4799	0.545166143	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0169-C.h1	PF0169-C	1	2	0.88	102.49	503778	4828	0.747661108	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0169-C.h3	PF0169-C	3	2	0.12	102.49	506086	2520	-15.36814507	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0170-C.h1	PF0170-C	1	4	0.02	141.42	502560	6046	9.252449636	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0170-C.h2	PF0170-C	2	4	0.09	141.42	505134	3472	-8.720724149	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0170-C.h3	PF0170-C	3	4	0.57	141.42	503780	4826	0.733695938	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0170-C.h4	PF0170-C	4	4	0.31	141.42	504334	4272	-3.134656151	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0172-C.h1	PF0172-C	1	1	1	133.23	503778	4828	0.747661108	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0175-C.h1	PF0175-C	1	1	1	44.79	503959	4647	-0.516186776	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0176-C.h1	PF0176-C	1	1	1	149.16	504102	4504	-1.514696431	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0177-C.h1	PF0177-C	1	3	0.57	9.62	504477	4129	-4.133165806	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0177-C.h2	PF0177-C	2	3	0.07	9.62	501899	6707	13.86793832	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0177-C.h4	PF0177-C	4	3	0.36	9.62	504157	4449	-1.898738606	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0178-C.h1	PF0178-C	1	1	1	62.23	503812	4794	0.510253218	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0180-C.h1	PF0180-C	1	1	1	196.64	503870	4736	0.105263288	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0184-C.h1	PF0184-C	1	1	1	262.59	503866	4740	0.133193628	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0185-C.h1	PF0185-C	1	1	1	299.05	503826	4780	0.412497028	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0186-C.h1	PF0186-C	1	2	0.91	75.44	503804	4802	0.566113898	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0186-C.h3	PF0186-C	3	2	0.09	75.44	505351	3255	-10.23594509	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0188-C.h1	PF0188-C	1	1	1	204.02	503830	4776	0.384566688	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0189-C.h1	PF0189-C	1	2	0.71	101.9	505857	2749	-13.7691331	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0189-C.h3	PF0189-C	3	2	0.29	101.9	500798	7808	21.5557644	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0190-C.h1	PF0190-C	1	2	0.9	198.57	503708	4898	1.236442058	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0190-C.h3	PF0190-C	3	2	0.1	198.57	504286	4320	-2.799492071	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0191-C.h2	PF0191-C	2	3	0.12	116.47	505214	3392	-9.279330949	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0191-C.h3	PF0191-C	3	3	0.69	116.47	503899	4707	-0.097231677	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0191-C.h4	PF0191-C	4	3	0.19	116.47	504713	3893	-5.781055865	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0192-C.h2	PF0192-C	2	3	0.24	209.34	505039	3567	-8.057378575	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0192-C.h3	PF0192-C	3	3	0.55	209.34	502876	5730	7.045952777	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0192-C.h4	PF0192-C	4	3	0.21	209.34	505140	3466	-8.762619659	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0193-C.h1	PF0193-C	1	1	1	19.93	503937	4669	-0.362569906	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0195-C.h1	PF0195-C	1	2	0.61	119.18	503753	4853	0.922225733	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0195-C.h3	PF0195-C	3	2	0.39	119.18	503956	4650	-0.495239021	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0196-C.h1	PF0196-C	1	2	0.83	117.73	503889	4717	-0.027405827	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0196-C.h3	PF0196-C	3	2	0.17	117.73	505044	3562	-8.0922915	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0197-C.h1	PF0197-C	1	1	1	420.4	503783	4823	0.712748183	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0198-C.h2	PF0198-C	2	3	0.22	85.49	504514	4092	-4.391521451	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0198-C.h3	PF0198-C	3	3	0.49	85.49	504064	4542	-1.249358201	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0198-C.h4	PF0198-C	4	3	0.29	85.49	504546	4060	-4.61496417	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0199-C.h2	PF0199-C	2	3	0.24	14.27	504715	3891	-5.795021035	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0199-C.h3	PF0199-C	3	3	0.68	14.27	504347	4259	-3.225429756	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0199-C.h4	PF0199-C	4	3	0.08	14.27	503059	5547	5.768139722	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0202-C.h1	PF0202-C	1	4	0.05	190.22	505657	2949	-12.3726161	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0202-C.h2	PF0202-C	2	4	0.38	190.22	504006	4600	-0.844368271	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0202-C.h3	PF0202-C	3	4	0.48	190.22	503811	4795	0.517235803	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0202-C.h4	PF0202-C	4	4	0.1	190.22	505626	2980	-12.15615597	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0203-C.h1	PF0203-C	1	1	1	11.02	504143	4463	-1.800982416	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0204-C.h1	PF0204-C	1	1	1	65.13	503802	4804	0.580079068	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0205-C.h1	PF0205-C	1	2	0.91	42.52	503814	4792	0.496288048	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0205-C.h4	PF0205-C	4	2	0.08	42.52	504993	3613	-7.736179665	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0206-C.h1	PF0206-C	1	1	1	130.01	503877	4729	0.056385193	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0207-C.h1	PF0207-C	1	1	0.98	95.42	503785	4821	0.698783013	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0208-C.h1	PF0208-C	1	2	0.87	453.51	503811	4795	0.517235803	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0208-C.h3	PF0208-C	3	2	0.13	453.51	505350	3256	-10.22896251	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0211-C.h1	PF0211-C	1	1	1	129.6	503729	4877	1.089807773	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0212-C.h1	PF0212-C	1	2	0.83	77.96	503899	4707	-0.097231677	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0212-C.h3	PF0212-C	3	2	0.17	77.96	505063	3543	-8.224960615	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0213-C.h1	PF0213-C	1	1	1	88.9	503793	4813	0.642922333	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0214-C.h1	PF0214-C	1	1	1	528.59	503936	4670	-0.355587321	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0217-C.h1	PF0217-C	1	2	0.87	145.09	503946	4660	-0.425413171	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0217-C.h3	PF0217-C	3	2	0.13	145.09	506218	2388	-16.28984629	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0218-C.h1	PF0218-C	1	2	0.9	91.9	503718	4888	1.166616208	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0218-C.h3	PF0218-C	3	2	0.1	91.9	505484	3122	-11.1646289	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0219-C.h2	PF0219-C	2	3	0.39	185.77	503902	4704	-0.118179432	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0219-C.h3	PF0219-C	3	3	0.55	185.77	503806	4800	0.552148728	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0219-C.h4	PF0219-C	4	3	0.06	185.77	505807	2799	-13.42000385	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0221-C.h1	PF0221-C	1	1	1	120.7	504035	4571	-1.046863236	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0222-C.h1	PF0222-C	1	1	0.99	57.63	503829	4777	0.391549273	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0223-C.h2	PF0223-C	2	3	0.18	93.93	503338	5268	3.819998508	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0223-C.h3	PF0223-C	3	3	0.51	93.93	505365	3241	-10.33370128	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0223-C.h4	PF0223-C	4	3	0.31	93.93	503665	4941	1.536693213	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0225-C.h1	PF0225-C	1	1	1	87.71	503845	4761	0.279827913	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0226-C.h1	PF0226-C	1	2	0.7	38.76	505646	2960	-12.29580767	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0226-C.h3	PF0226-C	3	2	0.3	38.76	501790	6816	14.62904008	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0228-C.h2	PF0228-C	2	3	0.31	292.87	503874	4732	0.077332948	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0228-C.h3	PF0228-C	3	3	0.55	292.87	505433	3173	-10.80851706	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0228-C.h4	PF0228-C	4	3	0.14	292.87	503297	5309	4.106284492	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0229-C.h2	PF0229-C	2	3	0.15	89.91	503080	5526	5.621505437	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0229-C.h3	PF0229-C	3	3	0.56	89.91	505639	2967	-12.24692957	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0229-C.h4	PF0229-C	4	3	0.29	89.91	503892	4714	-0.048353582	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0230-C.h2	PF0230-C	2	3	0.16	146.74	504589	4017	-4.915215325	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0230-C.h3	PF0230-C	3	3	0.52	146.74	504698	3908	-5.67631709	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0230-C.h4	PF0230-C	4	3	0.31	146.74	504008	4598	-0.858333441	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0231-C.h1	PF0231-C	1	1	1	159.62	503847	4759	0.265862743	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0232-C.h1	PF0232-C	1	1	1	197.9	503805	4801	0.559131313	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0233-C.h1	PF0233-C	1	3	0.59	8.96	504519	4087	-4.426434376	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0233-C.h2	PF0233-C	2	3	0.06	8.96	501599	7007	15.96271382	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0233-C.h4	PF0233-C	4	3	0.34	8.96	504572	4034	-4.79651138	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0234-C.h2	PF0234-C	2	3	0.31	220.91	504576	4030	-4.82444172	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0234-C.h3	PF0234-C	3	3	0.53	220.91	504156	4450	-1.891756021	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0234-C.h4	PF0234-C	4	3	0.16	220.91	504717	3889	-5.808986205	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0235-C.h3	PF0235-C	3	1	0.99	180.87	503802	4804	0.580079068	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0238-C.h1	PF0238-C	1	3	0.28	96.21	504045	4561	-1.116689086	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0238-C.h2	PF0238-C	2	3	0.68	96.21	503762	4844	0.859382468	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0238-C.h4	PF0238-C	4	3	0.03	96.21	504511	4095	-4.370573696	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0239-C.h1	PF0239-C	1	1	0.99	107.64	503736	4870	1.040929678	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0240-C.h1	PF0240-C	1	1	1	26.4	503934	4672	-0.341622151	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0241-C.h1	PF0241-C	1	2	0.87	174.57	503802	4804	0.580079068	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0241-C.h3	PF0241-C	3	2	0.13	174.57	504678	3928	-5.53666539	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0242-C.h2	PF0242-C	2	3	0.33	177.05	504211	4395	-2.275798196	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0242-C.h3	PF0242-C	3	3	0.53	177.05	504056	4550	-1.193497521	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0242-C.h4	PF0242-C	4	3	0.14	177.05	504576	4030	-4.82444172	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0245-C.h1	PF0245-C	1	1	0.99	28.58	503906	4700	-0.146109772	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0246-C.h1	PF0246-C	1	1	0.98	102.97	503776	4830	0.761626278	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0248-C.h1	PF0248-C	1	2	0.03	553.46	505033	3573	-8.015483065	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0248-C.h3	PF0248-C	3	2	0.97	553.46	503872	4734	0.091298118	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0249-C.h1	PF0249-C	1	2	0.71	675.57	504883	3723	-6.968095315	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0249-C.h3	PF0249-C	3	2	0.29	675.57	502332	6274	10.84447902	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0250-C.h1	PF0250-C	1	2	0.61	26.86	504041	4565	-1.088758746	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0250-C.h3	PF0250-C	3	2	0.39	26.86	504326	4280	-3.078795471	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0252-C.h1	PF0252-C	1	2	0.91	547.42	503810	4796	0.524218388	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0252-C.h3	PF0252-C	3	2	0.09	547.42	506496	2110	-18.23100492	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0253-C.h1	PF0253-C	1	4	0.04	9.05	501091	7515	19.509867	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0253-C.h2	PF0253-C	2	4	0.02	9.05	500459	8147	23.92286072	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0253-C.h3	PF0253-C	3	4	0.91	9.05	504349	4257	-3.239394926	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0253-C.h4	PF0253-C	4	4	0.03	9.05	500333	8273	24.80266643	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0254-C.h1	PF0254-C	1	1	1	516.44	503822	4784	0.440427368	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0255-C.h1	PF0255-C	1	1	0.99	144.62	503703	4903	1.271354983	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0256-C.h1	PF0256-C	1	4	0.04	94.56	504964	3642	-7.5336847	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0256-C.h2	PF0256-C	2	4	0.09	94.56	505701	2905	-12.67984984	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0256-C.h3	PF0256-C	3	4	0.56	94.56	503974	4632	-0.620925551	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0256-C.h4	PF0256-C	4	4	0.31	94.56	503963	4643	-0.544117116	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0258-C.h2	PF0258-C	2	3	0.43	578.85	504070	4536	-1.291253711	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0258-C.h3	PF0258-C	3	3	0.49	578.85	504075	4531	-1.326166636	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0258-C.h4	PF0258-C	4	3	0.08	578.85	506213	2393	-16.25493336	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0259-C.h1	PF0259-C	1	1	1	101.52	503768	4838	0.817486958	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0260-C.h1	PF0260-C	1	1	1	510.51	503751	4855	0.936190903	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0261-C.h1	PF0261-C	1	1	1	10.23	504264	4342	-2.645875201	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0262-C.h1	PF0262-C	1	2	0.71	86.53	503849	4757	0.251897573	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0262-C.h3	PF0262-C	3	2	0.29	86.53	504179	4427	-2.052355476	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0263-C.h1	PF0263-C	1	1	1	236.65	503740	4866	1.012999338	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0264-C.h2	PF0264-C	2	3	0.3	175.41	504489	4117	-4.216956826	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0264-C.h3	PF0264-C	3	3	0.59	175.41	503854	4752	0.216984648	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0264-C.h4	PF0264-C	4	3	0.11	175.41	504782	3824	-6.26285423	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0265-C.h2	PF0265-C	2	3	0.24	115.88	504460	4146	-4.014461861	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0265-C.h3	PF0265-C	3	3	0.67	115.88	504012	4594	-0.886263781	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0265-C.h4	PF0265-C	4	3	0.08	115.88	505366	3240	-10.34068387	4720.924883	143.2134375	Ghana	Kassena	TRUE
PF0266-C.h1	PF0266-C	1	1	0.99	21.75	504029	4577	-1.004967726	4720.924883	143.2134375	Ghana	Kassena	FALSE
PF0267-C.h1	PF0267-C	1	1	1	134.65	503808	4798	0.538183558	4720.924883	143.2134375	Ghana	Kassena	FALSE
